"Not a Smartlook user yet?", "Nie jesteś jeszcze użytkownikiem Smartlook?"
"Hide", "Ukryj"
"Show", "Pokaż"
"Settings", "Ustawienia"
"Yes", "Tak"
"No", "Nie"
"Enabled", "Włączone"
"Enable recording on website.", "Włącz nagrywanie na stronie."
"Smartlook code", "Kod Smartlook"
"Smartlook code assigned to your account.","Kod Smartlook przyporządkowany do Twojego konta."
"Customer info", "Dane klienta"
"Show info about your customers (name, email, etc.) in Smartlook dashboard, where your agents can see it. You will find customer info in the right panel while recording.", "Pokaż informacje o klientach (nazwa, email itd.) w panelu Smartlook."
"Name", "Imię i nazwisko"
"Shows customer's display name.", "Pokazuj nazwę klienta."
"Email", "Email"
"Shows customer's email.", "Pokazuj email klienta."
